id,partner,category (HEI green certification / green skills courses / labor market),name,image_url,quote,description,language,url_initiative,resources,url_resources,target_audience,type,thematic_focus,green_skill_specificity_level,location,content,duration,cost,start_date,end_date,impact,success_metrics,creator_name,creator_role,provider_name,provider_type,contact_name,contact_email,funded_by,funding_amount,recommendations
1,KTU,Other,EU GREEN,https://eugreenalliance.eu/wp-content/uploads/2022/12/logo-eugreen.png,We believe that working with our communities with a global perspective is the best way to create opportunities.,"EU GREEN (responsible GRowth, inclusive Education and ENvironment) is a transnational Alliance of nine European universities aiming to be a Gateway to Sustainability. The project’s goal is to create a broad European educational area through strengthening and disseminating European values where sustainability is a transversal element. Some of the project activities include creation of pedagogical methodologies and university staff training, research clusters, promotion of entrepreneurship, innovation and mobility in relation to sustainability, community engagement, and others. The project also promotes a participatory methodology to involve the whole academic world (academic staff, non-academic staff and students) in environmental and social challenges and to stimulate behavioural change of all actors towards more sustainable practices.  ",English,https://eugreenalliance.eu/,"e.g., EU GREEN Blended Intensive Programmes (BIPs)",https://eugreenalliance.eu/eu-green-blended-intensive-programmes-bips/,"Students, Teachers",Network,"Environmental Education and Awareness, Sustainable Business Practices, Policy and Governance, Community Engagement and Outreach",,EU GREEN website and sites of 9 universities across the EU,"EDUCATION: Creation of a specific Pedagogical and Professional Development Programme for teaching and non-academic staff, with the participation of experts in the field;
Organisation of annual teaching concentrations for teaching staff and Staff Weeks for non-academic staff;
Creation of a library of pedagogical methodologies.

INNOVATION AND ENTREPRENEURSHIP: Promotion of entrepreneurship, supporting the creation of start-ups and spin-offs focused on sustainability-related products/services. These activities will include:
summer camps for entrepreneurs, training activities to prepare doctoral students and research staff in sustainable entrepreneurship, a physical space associated to the EU GREEN project in each University (EU GREEN Business Lounges)...
",,,,,"158
k students",,"University of Gävle (Sweden), Wroclaw University of Environmental and Life Sciences (Poland), Universitá di Parma (Italy), Université D’Angers (France), Universidade de Évora (Portugal), Otto von Guericke Universität Magdeburg (Germany), Atlantic Technological University (Ireland), Universitatea Din Oradea (Romania), and Universidad de Extremadura (Spain).",Consortium,EU GREEN,,,info@eugreenalliance.eu ,European Union´s Erasmus+ Programme (Grant Agreement nº 101089896),14.4 million euros,"- In the future, creation of an EU GREEN European Virtual University
- Promotion of entrepreneurship, supporting the creation of start-ups and spin-offs focused on sustainability-related products/services.
"
2,UniLu,,EUSTEPs (Enhancing Universities’ Sustainability TEaching and Practices),https://ecodynamics.unisi.it/wp-content/uploads/sites/112/2020/02/EUSTEPS-Logo-Official.jpg,Because education is key,"EUSTEPs aims to educate European university students and the wider academic community about the complexity of sustainability and its interdisciplinary nature in an engaging and captivating manner.
In addition, its goal is to support the assessment and reduction of the environmental impact of EU Higher Education Institutions (HEIs) through an experiential approach based on an innovative application of the Ecological Footprint. The key outputs of the EUSTEPs project are:
E-learning Platform & University Footprint Calculator","English, Italian, Greek, Portuguese",https://www.eusteps.eu/,"Mooc, Teaching material, Footprint calculator","https://www.eusteps.eu/resources/student-educator-teaching-material/
https://aulaberta.uab.pt/blocks/catalog/detail.php?id=59
https://eusteps.footprintcalculator.org/","Students, Teachers,Staff",,"Nature and Environment
Sustainability 
Ecological Footprint 
Higher Education Institutions ",,,"The MOOC allows you to acquire knowledge on the concept of sustainability and the Ecological Footprint, by using examples and contexts from real life. It also helps you to understand what approaches can you make to address the global sustainability issue.
Topic 1 - Introduction to Ecological Overshoot, Sustainability, and SDGs
Topic 2 - Connecting your daily life with SDGs
Topic 3 - Introduction to Ecological Footprint
Topic 4 - Your Personal Ecological Footprint
Topic 5 - HEI: Sustainability aspects and assessment tools
Topic 6 - HEI: Sustainability best practices","50 hours overall, corresponding to approximately 7 hours per week.
",Free,,,,,"Aristotle University of Thessaloniki, Greece
University of Aveiro, Portugal
Universidade Aberta, Portugal
University of Siena, Italy
",,EUSTEPs,,,gmalandrakis@eled.auth.gr,,,
3,UniLu,,Future Work 4’s,https://futurework4s.eu/wp-content/uploads/2023/06/cropped-cropped-Work4_s_LOGO_Color-NoBG-Resized.png,"We will equip students with 4 key skills for the future - digital, green, entrepreneurial and social","The Future Work 4’s project aims at developing a gamified open online training program (MOOC) for university students and learners on 4 transversal skills that are identified as critical for the workforce in the 21st century: 
Digital competencies, Green skills and environmental awareness, Entrepreneurship and innovation, Social skills.
By completing all the activities provided for each course, students can earn a micro-credential certifying the newly acquired competence. ","English, Italian, Czech, Bulgarian",https://futurework4s.eu/,Mooc,https://futurework4s.eu/mooc-platform/,Students,MOOC,,,Online,"1. Green Skills (Gain basic orientation about the conditions of life on the Earth, the human impact on ecosystems and the fundamental global problems of our time);
2. Digital Skills (Acquire more advanced knowledge and skills in the use of digital technologies and their application to your specific areas of study);
3. Entrepreneurial Skills (Gain a solid foundation in entrepreneurship and equip yourself with the tools and resources to pursue your entrepreneurial aspirations);
4. Social and Career Skills (Deepen your knowledge of current labour market trends and develop a wide range of employability skills).",,,,,,,"Sofia University  
Innovation Hive – Greece
Czech University of Life Sciences Prague 
Business Foundation for Education – Bulgaria 
The team of Link Campus University – Italy ",,Future Work 4's ,,,,"European Union under the Erasmus+ Program, KA220 – Cooperation Partnerships for higher education. Project Number: - 2021-1-BG01 KA220-HED-000089475","250.000,00 €","4 transversal skills that are identified as critical for the workforce in the 21st century:
To empower female learners "
4,UniLu,,Green Campus,https://i0.wp.com/www.greencampusproject.eu/wp-content/uploads/2023/03/Logo_GreenCampus_site.png?fit=1000%2C559&ssl=1,Green Strategies for Healthy Lifestyle promotion at Campus,"The main objective of this project is to support the promotion of sustainable and healthy lifestyles for university campuses and their stakeholders.
By providing awareness, guidance, and support to the young new leaders of sport, we aspire them to be part of the necessary change to promote sustainability and healthy habits.",English,https://www.greencampusproject.eu/,Courses,https://sportacademy.app/courses/green-campus/,"Teachers, Other",,,,,"The online course is targeted at university professors and campus managers, dedicated to raising awareness of the need of these strategies and to provide a basis of knowledge to encourage their implementation in different universities. Comprising six modules covering various related topics in:
Module 1. Introduction to Green Campus
Module 2. Glossary to Green Campus
Module 3. Physical Activity, Sport and Sustainability
Module 4. Sustainability and Innovation
Module 5. Sustainable and effective communication for Green Campus
Module 6. The Green Campus Label
Final Assignment: Build your own Green Campus Good Practice",,,,,,,"European Network of Academic Sports Services (BEL) in
partnership with Sport Evolution Alliance (POR), European Network for Innovation and Knowledge (NLD),
International University Sports Federation (CHE),
Universidad Pablo D’Olavide (ESP) and CuiCui (ESP).",,SportAcademy,,,,"Erasmus+ Sport Project, funded
by the European Union",,"There is an app with best practices and a questionnaire to evaluate your university (green campus management - physical activity and sport - nature, environemnt and sustainability)"
5,UniLu,,Greenentre4future,https://mooc.greenentre4future.eu/wp-content/uploads/2023/02/logo-png.png,"Green Entrepreneurship for the Future for Youth 
","The GreenEntre4Future project aims to involve and train Youth Workers through the following objectives:
Define sustainable development approaches;
Develop and share tools to empower youth;
Train youth workers;
To promote initiatives for the European climate legislation;
To create synergy among stakeholders.
They propose a MOOC (Massive Open Online Course) to lead youth in green market to seize job opportunities and to create synergies and collaboration in green sector.","English, Portuguese, Italian, Greek, French, Dutch",http://www.greenentre4future.eu/,Mooc,https://mooc.greenentre4future.eu/,"The project is addressed at strengthening and validating competences of youth, future start uppers, young entrepreneurs, NEET, youth workers, trainers, experts, educators, staff, stakeholders (policymakers, green businesses, consumers) for environmental change, support investments and related growth.",MOOC,,,Online,"Unit 1. Green management
Unit 2. Digital marketing
Unit 3. Legal literacy
Unit 4: Financial literacy
Unit 5: Communication



",,Free,,,,," Cross Culture International Foundation Cyprus, Pafos (Cyprus) – parceiro
Coordenador
 Infinitivity Design Labs, Laussone (France)
 Petit Pas, Trani (Italy)
 União das Freguesias de Gondomar (S. Cosme), Valbom e Jovim (Portugal)
 Lidi Smart Solutions, The Hague, (Holanda)",,Greenentre4future,,,,Erasmus+ Programme – Strategic Partnership - Project Nr: 2021-1-CY02-KA220-YOU-000029171,,Entrepreneurship
6,KTU,Labor Market,GREENOVET,https://www.greenovet.eu/site/imagens/logo_3.png,A sustainable future with green innovation,"GREENOVET is an international project that fosters the development of Vocational Education and Training (VET) Excellence in Green Innovation across Europe by establishing Centres of Vocational Excellence (CoVEs). These CoVEs enable an innovative, inclusive, and sustainable economy. They focus the knowledge, resources, and infrastructures of key stakeholders on developing innovation and skills ecosystems, contributing to regional development, and promoting environmental, social, and economic growth in Europe through green and sustainable innovation processes enabled by VET Excellence.","English, German, Finnish, Macedonian, Portuguese, Swedish",https://www.greenovet.eu/,,,"Students, Teachers",Project,,,"Styria (Austria), Vaasa (Finland), Skopje (North Macedonia), Leiria (Portugal) and online platform ","One objectives is to foster the employability and entrepreneurial readiness of VET students, preparing and connecting them to the labour market.",,,,,,,"Austria (Styria): FH Joanneum Gesellschaft mbH, Technische Universität Graz, 3s Unternehmensberatung GmbH, Green Tech Valley Cluster GmbH, HTBLuVA Graz-Gösting, Wirtschaftskammer Steiermark
Finland (Vaasa): VAASAN YLIOPISTO, VAMIA, Oy Merinova Ab, Ab Yrkeshögsskolan vid Åbo Akademi – Novia
Portugal (Leiria): Instituto Politécnico de Leiria, Pombal Prof – Sociedade de Educação e Ensino Profissional S.A., NERLEI - Associação Empresarial da Região de Leiria
North Macedonia (Skopje): Zdruzenie Nacionalen centar za razvoj na inovacii i pretpriemacko ucenje Skopje, Ss. CYRIL AND METHODIUS UNIVERSITY IN SKOPJE, ASUC Boro Petrushevski, RADE KONCAR - TEP DOOEL Skopje, Macedonian Chambers of Commerce",Consortium,GREENOVET,,,,European Partners and co-funded by Erasmus+ Programme of the European Union,,- No provided ressources on the website
7,UL,Green skills courses,Green skills for education: promoting environmental awareness and sustainable actions in the classroom.,https://www.erasmustrainingcourses.com/uploads/6/5/6/3/65630323/editor/logoelatextblue.png?1616195789,Learn the best tools and methods to talk about environmmental awareness and promote sustainable actions in the classroom.,"This training course allows participants to get a deeper insight and sharing of the role teachers and education can play in promoting a green skill set and a learning environment responsive to the most topical global challenges. Participants will learn and practice tools and strategies to model conscious behaviors, promote dialogue and debate among students on climate change, plan lessons around sustainable development goals. The general aim of this course is to equip teachers and education staff with formal, informal and non-formal tools to become active players in the green transition, developing students green skills and promoting a behavioral change in favor of a true commitment to sustainable development goals.",English,https://www.erasmustrainingcourses.com/green-skills.html,Course sheet,https://drive.google.com/file/d/1_ZLF6CGx9GDoiO-bQJrKnfJJdv7jAt96/view  ,Teachers,Training,Environmental Education and Awareness,Transversal,"Physical location (Bologna, Tenerife, Palermo, Porto, Thessaloniki)","e.g., 
- Introduction to the pyramid of green skills
- Teaching hard green skills in the classroom: the Agenda 2030 and SDGs
- Taking action: creating your green action plans at the personal and classrom/school levels...",1 week,"Depends on the location (From 1225 to 1405 EUR)
Erasmus Grant possible",,,,,,,Erasmus Learning Academy (ELA),Teacher Training centre ,,info@erasmuslearningacademy.eu,European Union,,"- Provide teachers tools for promotting green skills
- Although adaptable to different teaching levels, more appropriate for primary and secondary education?"
8,UITM,Green skills courses,Micro-credential in Sustainability,https://s3.eu-west-1.amazonaws.com/una-europa/JIFs/HERO_2700x850px_PLANE_background_2_org-1_2022-10-28-112855_zpqd.png?auto=format&crop=focalpoint&domain=unaeuropa.imgix.net&fit=crop&w=500&h=333&q=82&fm=png&fp-x=0.5&fp-y=0.5&ixlib=php-2.1.1,"Cutting-edge courses and programmes to give you the skills you need to embrace the opportunities of today – and the confidence to tackle the challenges of tomorrow.

","The Micro-credential programme consists of 5 MOOCs (Massive Open Online Courses): Introduction to Sustainability, Climate, Biodiversity, Political Economy of Sustainability and Sustainability and the Arts. It is worth 10 ECTS credits in total. The tool and programme was developed by UNA EUROPA, an alliance of 11 European universities for a student own learning path. The Micro-credential is included as a module in the curriculum of the Master’s Programme for Atmospheric Sciences of the University of Helsinki. ",English,https://www.una-europa.eu/study/microcredential-sustainability#content,"Available resources include online materials, textbooks and engaging exercises. ",https://www.una-europa.eu/study/microcredential-sustainability/courses#content,"Students, Teachers",Course,"Sustainable development as a concept, Environmental Education and Awareness, Climate Change Mitigation, Biodiversity Conservation, Policy and Governance, Community Engagement and Outreach, Social and Political Role of Art in the Ecological Crisis ","Transversal, Domain Specific for Arts",Online Mooc,"The Micro-credential programme consists of 5 MOOCs 
1. Introduction to Sustainability 3 ECTS
2. Climate.now 2 ECTS
3. Biodiversity.now 2 ECTS
4. Political Economy of Sustainability 2 ECTS
5. Sustainability and the Arts 1 ECTS


",Total duration of the initiative depends on a student own learning path (around 250 hours / 6 weeks),"The course is free for students of Una Europa partner universities, Climate University, and Biodiversity Education Network. For students outside these institutions - fee apply",,,,,"KU Leuven, Belgium	
University of Helsinki, Finland
Paris 1 Panthéon-Sorbonne University, France	
Free University of Berlin, Germany	
University College Dublin, Ireland	
University of Bologna, Italy	
Jagiellonian University, Kraków, Poland	
Complutense University of Madrid, Spain	
University of Zurich, Switzerland	
Leiden University, The Netherlands
University of Edinburgh, UK",Consortium,UNA EUROPA ,,,una.europa@helsinki.fi,European Commission under the Erasmus+ Programme of the European Union; funding from the European Union’s Horizon 2020 Research and Innovation Programme and co-funded by the European Commission under the Erasmus+ Programme's European Universities Initiative.,,"The course critically discusses the concepts of sustainability, responds to the demands of green transition (including general and transversal skills), offers a flexible way to supplement the degree from any discipline with research-based knowledge (as a module of the masters’ programme). "
9,UniLu,Other,Nature Project,https://ec.europa.eu/programmes/erasmus-plus/project-result-content/3a42d37f-96f8-4d00-b93f-f545a8a0d0c8/logo1500.png,Serious Games for Natural Resource Management,"NATURE is an experiential learning intervention for building the capacity of higher education students to adopt responsible behavior on natural resources management and to design solutions for environmental sustainability in everyday and professional activities. The proposed learning intervention will:
- Build awareness on the importance of sustainable natural resources management for the well-being of communities and plant and animal species.
- Develop theoretical knowledge and practical skills that empower students to become active citizens designing environmentally sustainable solutions.
- Develop soft skills that foster innovative mindsets that help students become the problem-solvers of tomorrow towards sustainable practices in the industry and society.",English,http://www.projectnature.eu/,Game,https://drive.google.com/file/d/1BrUpNqACgGy-tl_H0aonn1klpNxtEDac/view,"Higher education students
Higher education instructors and organizations

",Game,,,,"NATURE will develop an experiential learning intervention for building the capacity of higher
education students to adopt responsible behavior on natural resources management and to design solutions for environmental sustainability in everyday and professional activities.
In order to achieve those goals, the NATURE project deploys a Unity-based city builder type serious game demonstrating to students how to prevent, prepare and recover from different type of disasters in a city-wide environment.",,,,,,,"University of Thessaly, Greece, Tallinn University,  Estonia, Universida de Vigo, Spain, Virtual Campus, Portugal, EU-TRACK, Italy, Latvian Cultural college
",,Nature Project,,,,European Commission under the Erasmus+ Programme of the European Union,,"Digital learning games and learning activities targeting student, building awareness, green skills and competencies on responsible natural resources management"
10,KTU,Other,NBS EduWORLD (Nature-based Solutions Education Network),https://nbseduworld.eu/maintemplate/data/logos/logo.png,"Learn from nature, Teach from nature, Grow from nature","NBS EduWORLD is a Horizon Europe project at the crossroads between nature-based solutions and education, a forerunner project blending the two topics. The result is a unique consortium bringing together researchers, educators, NBS practitioners, and even sports community members with the common goal of creating engaging and locally relevant educational materials centering the environmental, social, and professional merits of NBS.",English,https://nbseduworld.eu/,"A list of over 200 resources for NBS education and initiatives (including guidance, reports, tools, and services developed around education about NBS).",https://nbseduworld.eu/resources,"Students, Teachers",Project,"Nature-based Solutions, Waste Management, Water Management, Biodiversity Conservation, Urban planning, Green Building, Environmental Education and Awareness, Community Engagement and Outreach.",Transversal,NBS EduWORLD Website,"NBS EduWORLD summarise the state of play of NBS education in Europe and evaluate the initiatives already in place, determine how to expand and replicate them and establish a basis and framework for the project itself and future initiatives, resulting in guidance and (policy) recommendations.",,Free,September 2022,September 2025,N/A,N/A,"European Schoolnet (EUN), Public Policy and Management Institute (PPMI), ICLEI Europe (ICLEI), Centre for Experiments in Urban Studies (CEUS), The Big Van Theory (TBVT), Ellinogermaniki Agogi (EA), European Football for Development Network (EFDN), The Ministry of Youth and Sports of the Republic of Turkey, Trinity College Dublin (TCD), Association Verde e Moldova (VEM), Almada Municipality (CMA), Horizon Nua (HNUA), Muséum national d'histoire naturelle (MNHN), Municipality of Genoa (CDG), Natural Solutions (NS), Offaly County Council (OCC)
",Consortium,NBS EduWORLD,,,info@nbseduworld.eu,European Union - Programme HORIZON (Grant Agreement nº 101060525),,"- Nature-based perspective for teaching
- Although adaptable to different teaching levels, more appropriate for primary and secondary education?"
