id,Name,Description,Link,Related countries,Target domain,Image_url
1,QS World University Rankings: Sustainability 2024,Discover which of the world's universities are leading the way in social and environmental sustainability with the QS World University Rankings: Sustainability 2024.,https://www.topuniversities.com/sustainability-rankings,Global,University rankings,https://www.topuniversities.com/sites/default/files/styles/ranking_header_250x217/public/ranking_set_release/4174/WUR23-MAR%2067494%20sust%202024_TUhomepage-%20desktop%20global%20mba.png.webp
2,UI GreenMetric World University Ranking,"The UI GreenMetric World University Ranking is a ranking system focused on green campus and environmental sustainability, initiated by Universitas Indonesia in 2010. It evaluates universities worldwide based on their commitment to environmental sustainability. The ranking uses 39 indicators distributed across six main criteria: Setting and Infrastructure, Energy and Climate Change, Waste, Water, Transportation, and Education.
This initiative aims to promote environmental awareness and sustainable practices among higher education institutions globally and encourages them to reduce their ecological footprints while enhancing their sustainability education and research efforts.",http://greenmetric.ui.ac.id/,Global,University rankings,https://bu.edu.eg/univ_info/images/Ranking/UIGreen.png
3,Times Higher Education Impact Rankings,"The Times Higher Education Impact Rankings are the only global performance tables that assess universities against the United Nations’ Sustainable Development Goals (SDGs). We use carefully calibrated indicators to provide comprehensive and balanced comparison across four broad areas: research, stewardship, outreach and teaching.",https://www.timeshighereducation.com/rankings/impact/2023/climate-action,Global,University rankings,https://www.timeshighereducation.com/cms-academic/sites/default/files/2023-10/THE%20LOGO_0.png
4,ILO's skills for a greener future report,"The first global report on the implications of the transition to low-carbon and resource-efficient economies for skills, gender and occupations.",https://www.ilo.org/media/403841/download,Global,"Green transition, green skills",https://pact-for-skills.ec.europa.eu/sites/default/files/styles/oe_theme_publication_thumbnail/public/2022-08/Publication_Skills%20for%20a%20greener%20future%20-%20a%20global%20view.png?itok=eZEoXHbS
5,EC's toolkit for green skills: a guide to upskilling and reskilling workers for the green transition,The aim of this toolkit is to help stakeholders to address the upskilling and reskilling needs of workers in the context of the green economy.,https://euagenda.eu/publications/green-skills-toolkit-a-guide-to-upskilling-and-reskilling-workers-for-the-green-transition,EU countries,"Green transition, green skills, green jobs",
6,Sustainability Literacy Test (Sulitest),"Sustainability Literacy Test (Sulitest) was created in France after the United Nations Conference on Sustainable Development (Cop21) and designed to contribute to the Sustainable Development Goals. Sulitest is designed as an initial platform to foster the mission to, “support expanded sustainability knowledge, skills and mindset that motivate individuals to become deeply committed to building a sustainable future and to making informed and effective decisions”. The Sulitest initiative benefits from the support of a wide range of United Nations entities, renowned national and international academic institutions, and the trust of hundreds of contributors around the world. Sulitest was recognized in 2016 as one of the first featured initiatives of the UN Partnerships for Sustainable Development Goals, and in 2017 as a contributor to the review of the 2030 Agenda through the High-level Political Forum on Sustainable Development.",https://www.sulitest.org/,Global,Green education,https://cdn.prod.website-files.com/65280e69dc36aa08d8c6a40e/65280e69dc36aa08d8c6a43b_logo-sulitest-certification-developpement-durable.svg
7,ESCO Green Taxonomy,"The ESCO classification identifies and categorises skills, competences, and occupations relevant for the EU labour market and education and training. It systematically shows the relationships between the different concepts.",https://esco.ec.europa.eu/en,EU countries,"Green skills, green jobs",https://eurofamnet.eu/sites/default/files/agencies/esco.jpg
8,LinkedIn's List of Green Resources,A list of resources published by the LinkedIn p[latform regarding green skills and the green transition,https://economicgraph.linkedin.com/research/green-skills-resources,Global,"Green skills, green jobs",https://content.linkedin.com/content/dam/me/economicgraph/en-us/banners/green-gender-lp-desktop-header.png/jcr:content/renditions/d-2.png
9,LinkedIn's Global Green Skills Report,LinkedIn's latest annual report on green skills,https://economicgraph.linkedin.com/content/dam/me/economicgraph/en-us/global-green-skills-report/green-skills-report-2023.pdf,Global,"Green skills, green jobs",https://www.edge.co.uk/images/K1UKdgr5lHxlwjdUsq6UgaOdnco=/1806/max-650x650/Global_Green_Skills_Report_2023.png
10,CEDEFOP's dashboard for renewable energy and related occupations,"This dashboard displays trends in online job advertisements for renewable energy and related occupations. It presents an index showing trends over time of OJA for these occupations (with reference quarter 2020Q1), the breakdown of the number of OJA by detailed occupation in a year, and the total number of OJAs for renewable energy and related occupations by country.",https://www.cedefop.europa.eu/en/tools/skills-online-vacancies/renewable-energy-and-related-occupations,EU countries,"Energy, green jobs",https://cepis.org/app/uploads/2019/12/Logo_Cedefop_1.jpg
